Team1,Team1Score,Team2,Team2Score
Cleveland Cavaliers,84,Charlotte Bobcats,90
New Orleans Pelicans,90,Orlando Magic,110
Philadelphia 76ers,109,Washington Wizards,102
Toronto Raptors,95,Atlanta Hawks,102
Milwaukee Bucks,105,Boston Celtics,98
Miami Heat,100,Brooklyn Nets,101
Dallas Mavericks,105,Houston Rockets,113
Detroit Pistons,108,Memphis Grizzlies,111
Oklahoma City Thunder,81,Minnesota Timberwolves,100
Portland Trail Blazers,113,Denver Nuggets,98
Utah Jazz,84,Phoenix Suns,87
Los Angeles Clippers,110,Sacramento Kings,101
San Antonio Spurs,91,Los Angeles Lakers,85
Cleveland Cavaliers,74,Indiana Pacers,89
Chicago Bulls,104,Philadelphia 76ers,107
Charlotte Bobcats,84,New Orleans Pelicans,105
Memphis Grizzlies,99,Dallas Mavericks,111
Toronto Raptors,97,Milwaukee Bucks,90
Houston Rockets,104,Utah Jazz,93
San Antonio Spurs,105,Portland Trail Blazers,115
Sacramento Kings,87,Golden State Warriors,98
Boston Celtics,77,Detroit Pistons,87
Washington Wizards,93,Miami Heat,103
Brooklyn Nets,86,Orlando Magic,107
Phoenix Suns,96,Oklahoma City Thunder,103
Minnesota Timberwolves,109,New York Knicks,100
Atlanta Hawks,103,Los Angeles Lakers,105
Minnesota Timberwolves,92,Cleveland Cavaliers,93
Golden State Warriors,110,Philadelphia 76ers,90
Boston Celtics,88,Memphis Grizzlies,95
Houston Rockets,118,Los Angeles Clippers,137
Miami Heat,104,Toronto Raptors,95
Utah Jazz,88,Brooklyn Nets,104
Indiana Pacers,99,Detroit Pistons,91
Charlotte Bobcats,102,New York Knicks,97
Phoenix Suns,104,New Orleans Pelicans,98
Los Angeles Lakers,104,Dallas Mavericks,123
San Antonio Spurs,102,Denver Nuggets,94
Houston Rockets,116,Portland Trail Blazers,101
Atlanta Hawks,105,Sacramento Kings,100
Toronto Raptors,90,Charlotte Bobcats,92
Chicago Bulls,80,Indiana Pacers,97
Los Angeles Clippers,90,Orlando Magic,98
Washington Wizards,116,Philadelphia 76ers,102
Utah Jazz,87,Boston Celtics,97
New Orleans Pelicans,99,Memphis Grizzlies,84
Cleveland Cavaliers,104,Milwaukee Bucks,109
Golden State Warriors,106,Minnesota Timberwolves,93
Phoenix Suns,96,San Antonio Spurs,99
Dallas Mavericks,93,Oklahoma City Thunder,107
Los Angeles Clippers,97,Miami Heat,102
Atlanta Hawks,107,Denver Nuggets,109
Los Angeles Lakers,99,Houston Rockets,98
New York Knicks,101,Charlotte Bobcats,91
Toronto Raptors,84,Indiana Pacers,91
Boston Celtics,91,Orlando Magic,89
Cleveland Cavaliers,79,Philadelphia 76ers,94
Brooklyn Nets,108,Washington Wizards,112
Oklahoma City Thunder,119,Detroit Pistons,110
Utah Jazz,73,Chicago Bulls,97
Dallas Mavericks,108,Minnesota Timberwolves,116
Los Angeles Lakers,85,New Orleans Pelicans,96
Golden State Warriors,74,San Antonio Spurs,76
Denver Nuggets,103,Phoenix Suns,114
Sacramento Kings,91,Portland Trail Blazers,104
Utah Jazz,91,Toronto Raptors,115
Orlando Magic,94,Atlanta Hawks,104
Indiana Pacers,96,Brooklyn Nets,91
Philadelphia 76ers,125,Cleveland Cavaliers,127
Boston Celtics,111,Miami Heat,110
Los Angeles Clippers,107,Houston Rockets,94
Golden State Warriors,90,Memphis Grizzlies,108
Dallas Mavericks,91,Milwaukee Bucks,83
Portland Trail Blazers,96,Sacramento Kings,85
San Antonio Spurs,120,New York Knicks,89
Washington Wizards,105,Oklahoma City Thunder,106
New Orleans Pelicans,94,Phoenix Suns,101
Minnesota Timberwolves,113,Los Angeles Lakers,90
Atlanta Hawks,103,Charlotte Bobcats,94
Memphis Grizzlies,79,Indiana Pacers,95
San Antonio Spurs,109,Philadelphia 76ers,85
Orlando Magic,105,Boston Celtics,120
Cleveland Cavaliers,81,Chicago Bulls,96
Toronto Raptors,104,Houston Rockets,110
Denver Nuggets,100,Utah Jazz,81
Detroit Pistons,103,Portland Trail Blazers,109
Minnesota Timberwolves,107,Los Angeles Clippers,109
Milwaukee Bucks,95,Miami Heat,118
Washington Wizards,95,Dallas Mavericks,105
Detroit Pistons,95,Golden State Warriors,113
New Orleans Pelicans,95,Los Angeles Lakers,116
Milwaukee Bucks,91,Orlando Magic,94
Houston Rockets,117,Philadelphia 76ers,123
Charlotte Bobcats,89,Boston Celtics,83
New York Knicks,95,Atlanta Hawks,91
Toronto Raptors,103,Memphis Grizzlies,87
Cleveland Cavaliers,95,Minnesota Timberwolves,124
Washington Wizards,79,San Antonio Spurs,92
Los Angeles Lakers,99,Denver Nuggets,111
New Orleans Pelicans,105,Utah Jazz,111
Phoenix Suns,89,Portland Trail Blazers,90
Brooklyn Nets,86,Sacramento Kings,107
Oklahoma City Thunder,103,Los Angeles Clippers,111
Houston Rockets,109,New York Knicks,106
Oklahoma City Thunder,115,Golden State Warriors,116
Milwaukee Bucks,77,Indiana Pacers,104
Chicago Bulls,96,Toronto Raptors,80
Philadelphia 76ers,103,Atlanta Hawks,113
Portland Trail Blazers,109,Boston Celtics,96
Charlotte Bobcats,86,Cleveland Cavaliers,80
Dallas Mavericks,104,Miami Heat,110
Minnesota Timberwolves,113,Denver Nuggets,117
Brooklyn Nets,100,Phoenix Suns,98
San Antonio Spurs,91,Utah Jazz,82
Memphis Grizzlies,89,Los Angeles Lakers,86
Detroit Pistons,97,Sacramento Kings,90
Miami Heat,97,Charlotte Bobcats,81
Dallas Mavericks,108,Orlando Magic,100
Cleveland Cavaliers,103,Washington Wizards,96
Atlanta Hawks,110,New York Knicks,90
Indiana Pacers,94,Chicago Bulls,110
Denver Nuggets,111,Houston Rockets,122
Boston Celtics,88,Minnesota Timberwolves,106
Philadelphia 76ers,98,New Orleans Pelicans,135
Oklahoma City Thunder,92,Milwaukee Bucks,79
Utah Jazz,88,Golden State Warriors,102
Brooklyn Nets,103,Los Angeles Clippers,110
Portland Trail Blazers,118,Toronto Raptors,110
Memphis Grizzlies,97,Sacramento Kings,86
Detroit Pistons,99,Los Angeles Lakers,114
Portland Trail Blazers,108,Brooklyn Nets,98
Charlotte Bobcats,81,Chicago Bulls,86
Denver Nuggets,113,Oklahoma City Thunder,115
Philadelphia 76ers,94,Dallas Mavericks,97
Golden State Warriors,98,Utah Jazz,87
Memphis Grizzlies,106,Los Angeles Clippers,102
Minnesota Timberwolves,100,Washington Wizards,104
New York Knicks,86,Detroit Pistons,92
Atlanta Hawks,88,Miami Heat,104
Boston Celtics,85,Houston Rockets,109
Phoenix Suns,104,Sacramento Kings,107
Brooklyn Nets,91,Charlotte Bobcats,95
Washington Wizards,98,Cleveland Cavaliers,91
Indiana Pacers,103,New York Knicks,96
Miami Heat,120,Orlando Magic,92
Toronto Raptors,108,Philadelphia 76ers,98
Detroit Pistons,85,Atlanta Hawks,93
Portland Trail Blazers,91,Milwaukee Bucks,82
Los Angeles Clippers,102,Minnesota Timberwolves,98
Utah Jazz,98,New Orleans Pelicans,105
Boston Celtics,93,San Antonio Spurs,104
Sacramento Kings,113,Phoenix Suns,106
Houston Rockets,120,Dallas Mavericks,123
Memphis Grizzlies,88,Golden State Warriors,81
Los Angeles Clippers,91,Oklahoma City Thunder,105
Chicago Bulls,87,Denver Nuggets,97
Phoenix Suns,98,Charlotte Bobcats,91
Milwaukee Bucks,107,Philadelphia 76ers,115
Washington Wizards,88,Toronto Raptors,96
Indiana Pacers,97,Boston Celtics,82
Atlanta Hawks,96,Detroit Pistons,89
San Antonio Spurs,102,Memphis Grizzlies,86
Brooklyn Nets,81,Minnesota Timberwolves,111
Cleveland Cavaliers,100,New Orleans Pelicans,104
Utah Jazz,93,Dallas Mavericks,103
Chicago Bulls,95,Portland Trail Blazers,98
Golden State Warriors,95,Los Angeles Lakers,102
Sacramento Kings,102,Los Angeles Clippers,103
Philadelphia 76ers,98,Indiana Pacers,106
New York Knicks,89,Washington Wizards,98
Boston Celtics,94,Atlanta Hawks,87
Orlando Magic,99,Miami Heat,101
Minnesota Timberwolves,101,Houston Rockets,112
Charlotte Bobcats,96,Milwaukee Bucks,72
Cleveland Cavaliers,96,San Antonio Spurs,126
Dallas Mavericks,100,Denver Nuggets,102
Portland Trail Blazers,113,Golden State Warriors,101
Detroit Pistons,109,Brooklyn Nets,97
Chicago Bulls,82,Los Angeles Clippers,121
Phoenix Suns,104,Orlando Magic,96
Utah Jazz,73,Oklahoma City Thunder,95
Sacramento Kings,86,Los Angeles Lakers,100
Boston Celtics,96,Charlotte Bobcats,86
Minnesota Timberwolves,84,Indiana Pacers,98
Milwaukee Bucks,94,Detroit Pistons,113
Phoenix Suns,92,Miami Heat,107
Houston Rockets,93,Memphis Grizzlies,86
Denver Nuggets,110,Dallas Mavericks,96
New Orleans Pelicans,93,San Antonio Spurs,112
Chicago Bulls,83,Utah Jazz,89
New York Knicks,91,Portland Trail Blazers,102
Brooklyn Nets,102,Toronto Raptors,100
Los Angeles Lakers,111,Washington Wizards,116
Orlando Magic,109,Atlanta Hawks,92
Golden State Warriors,102,New Orleans Pelicans,101
Indiana Pacers,99,Charlotte Bobcats,74
Philadelphia 76ers,94,Orlando Magic,105
Memphis Grizzlies,100,Boston Celtics,93
Los Angeles Lakers,99,Brooklyn Nets,94
Miami Heat,95,Cleveland Cavaliers,84
Chicago Bulls,99,Detroit Pistons,79
Atlanta Hawks,84,Houston Rockets,113
Washington Wizards,100,Milwaukee Bucks,92
Denver Nuggets,117,Minnesota Timberwolves,110
San Antonio Spurs,88,Oklahoma City Thunder,94
Golden State Warriors,99,Dallas Mavericks,103
Portland Trail Blazers,106,Phoenix Suns,120
New York Knicks,80,Los Angeles Clippers,93
Milwaukee Bucks,76,Charlotte Bobcats,92
San Antonio Spurs,109,Orlando Magic,91
Miami Heat,90,Toronto Raptors,83
Dallas Mavericks,87,Atlanta Hawks,88
Cleveland Cavaliers,86,Boston Celtics,103
Los Angeles Lakers,106,Detroit Pistons,102
Brooklyn Nets,95,Houston Rockets,114
Washington Wizards,73,Indiana Pacers,93
Golden State Warriors,112,Oklahoma City Thunder,113
New Orleans Pelicans,121,Philadelphia 76ers,105
New York Knicks,95,Denver Nuggets,97
Phoenix Suns,112,Utah Jazz,101
Los Angeles Clippers,104,Sacramento Kings,98
Atlanta Hawks,101,Washington Wizards,108
Chicago Bulls,93,Cleveland Cavaliers,97
Brooklyn Nets,97,Memphis Grizzlies,88
Minnesota Timberwolves,112,Dallas Mavericks,106
Houston Rockets,112,San Antonio Spurs,106
Boston Celtics,85,Milwaukee Bucks,92
Utah Jazz,112,Phoenix Suns,104
